Documento: ejemplos/document-01.txt
Idx	Termino	TF	IDF	TF-IDF
133	demanding	2	1.09861	2.19722
135	details	1	0	0
136	didn	7	0	0
137	different	1	0	0
141	discovered	1	1.09861	1.09861
145	down	3	0	0
146	dragonfly	2	0	0
147	drew	1	0.405465	0.405465
149	each	2	0	0
151	early	1	1.09861	1.09861
152	earth	2	0	0
154	easier	1	0.405465	0.405465
157	edge	3	0	0
158	else	2	0	0
160	emptiness	1	0.405465	0.405465
162	end	1	0	0
163	ended	1	0	0
164	enough	2	0	0
165	erased	2	1.09861	2.19722
166	especially	1	1.09861	1.09861
167	even	1	1.09861	1.09861
168	eventually	1	0	0
169	evergreen	1	1.09861	1.09861
170	every	2	0.405465	0.81093
171	everything	2	0.405465	0.81093
174	exist	1	0	0
175	existed	1	0.405465	0.405465
176	expect	1	1.09861	1.09861
178	failure	1	1.09861	1.09861
181	familiar	1	0	0
182	far	1	0	0
186	feels	1	0	0
187	felt	3	0	0
188	few	1	0.405465	0.405465
190	figure	1	1.09861	1.09861
191	filled	2	1.09861	2.19722
192	find	3	0.405465	1.2164
194	first	1	0	0
195	fish	2	0	0
196	flat	1	0.405465	0.405465
197	fleeting	1	1.09861	1.09861
198	flitted	1	1.09861	1.09861
199	focused	1	0.405465	0.405465
201	for	6	0	0
203	forest	1	0	0
205	forth	1	1.09861	1.09861
207	found	2	0	0
209	freshness	1	0.405465	0.405465
210	frighten	1	1.09861	1.09861
211	from	2	0	0
214	gentle	2	0.405465	0.81093
215	gentler	1	0.405465	0.405465
216	gently	1	0	0
218	glass	1	0	0
220	glowing	1	1.09861	1.09861
221	goals	1	1.09861	1.09861
222	gold	1	1.09861	1.09861
226	grasses	1	0.405465	0.405465
227	grateful	1	1.09861	1.09861
228	gratefully	1	1.09861	1.09861
231	grew	2	0	0
232	ground	1	0	0
234	guardians	1	0.405465	0.405465
235	had	8	0	0
236	hadn	2	0	0
239	have	2	0	0
240	head	1	1.09861	1.09861
242	heavy	1	1.09861	1.09861
244	here	3	0	0
245	hidden	2	0	0
246	higher	1	0	0
247	hold	1	0.405465	0.405465
248	horizon	1	1.09861	1.09861
251	how	5	0	0
252	hurried	1	1.09861	1.09861
254	i	43	0	0
255	idea	1	0.405465	0.405465
256	identical	1	1.09861	1.09861
257	if	2	0	0
260	in	10	0	0
262	into	1	0	0
263	invisible	1	1.09861	1.09861
264	is	2	0.405465	0.81093
265	it	22	0	0
266	its	4	0	0
268	jot	1	1.09861	1.09861
269	judgment	1	0.405465	0.405465
272	just	2	0	0
273	keep	1	1.09861	1.09861
275	kind	2	0	0
276	knew	2	0	0
277	known	1	1.09861	1.09861
279	lake	8	0	0
280	landed	1	0	0
284	layer	1	1.09861	1.09861
285	leading	1	1.09861	1.09861
286	leapt	1	1.09861	1.09861
288	learned	1	0.405465	0.405465
289	leave	1	0.405465	0.405465
290	leaves	1	0	0
291	left	1	0.405465	0.405465
292	less	1	0.405465	0.405465
295	life	4	0	0
296	lifted	1	0	0
297	light	1	0	0
298	lighter	1	0	0
299	like	6	0	0
300	liked	1	0.405465	0.405465
303	lingered	1	1.09861	1.09861
306	locked	1	0.405465	0.405465
307	long	2	0	0
308	longer	1	1.09861	1.09861
309	look	1	0	0
310	looked	2	0.405465	0.81093
314	made	1	0.405465	0.405465
315	many	1	0	0
316	mattered	1	1.09861	1.09861
317	maybe	4	0	0
318	me	16	0	0
319	meadow	3	0.405465	1.2164
321	measure	1	0.405465	0.405465
322	middle	1	1.09861	1.09861
323	might	2	0	0
324	mind	1	0	0
326	mirror	1	0	0
327	missed	1	0	0
328	moment	3	0	0
329	moments	1	0	0
330	more	3	0	0
331	morning	2	0	0
332	motion	1	1.09861	1.09861
333	move	1	0.405465	0.405465
334	moved	2	0	0
335	movement	1	1.09861	1.09861
336	moving	1	0	0
337	much	2	0	0
338	my	10	0	0
339	myself	1	0	0
341	narrow	1	0.405465	0.405465
343	necessary	1	1.09861	1.09861
346	needs	1	1.09861	1.09861
347	never	1	0.405465	0.405465
348	new	2	0.405465	0.81093
349	night	1	0.405465	0.405465
350	noise	1	0	0
351	noisy	1	0.405465	0.405465
353	not	7	0	0
354	notebook	4	0	0
356	notice	2	1.09861	2.19722
357	noticed	1	0	0
359	now	2	0	0
