Documento: ejemplos/doc1.txt
Idx	Termino	TF	IDF	TF-IDF

Documento: ejemplos/doc2.txt
Idx	Termino	TF	IDF	TF-IDF

Documento: ejemplos/document-01.txt
Idx	Termino	TF	IDF	TF-IDF
721	stillness	4	0.262364	1.04946
722	stirred	1	0.955511	0.955511
724	stood	2	0.367725	0.73545
728	streaks	1	1.8718	1.8718
730	stretch	1	1.17865	1.17865
731	stretched	2	0.262364	0.524729
737	success	1	0.619039	0.619039
740	sudden	1	1.8718	1.8718
742	sun	2	0.262364	0.524729
743	sunlight	1	0.485508	0.485508
745	surface	5	0.262364	1.31182
749	t	7	0.262364	1.83655
751	taken	1	2.56495	2.56495
752	taking	1	2.56495	2.56495
754	tall	1	0.262364	0.262364
756	tangles	1	2.56495	2.56495
758	than	1	0.367725	0.367725
759	that	12	0.262364	3.14837
760	the	75	0.262364	19.6773
761	their	2	0.262364	0.524729
762	them	1	0.262364	0.262364
763	themselves	1	1.46634	1.46634
764	then	1	0.485508	0.485508
765	there	2	0.262364	0.524729
766	they	1	0.367725	0.367725
767	thickened	1	1.8718	1.8718
772	think	1	0.955511	0.955511
773	thinking	1	0.485508	0.485508
774	this	1	0.619039	0.619039
775	though	1	0.367725	0.367725
776	thought	1	0.262364	0.262364
778	through	1	0.367725	0.367725
783	time	3	0.262364	0.787093
785	times	1	0.955511	0.955511
787	to	17	0.262364	4.46019
789	together	1	1.17865	1.17865
791	too	2	0.262364	0.524729
794	toward	1	1.17865	1.17865
795	track	1	1.8718	1.8718
796	trail	2	0.262364	0.524729
800	trees	6	0.262364	1.57419
809	unconcerned	1	2.56495	2.56495
812	underneath	1	0.955511	0.955511
815	unhurried	1	1.8718	1.8718
819	unnoticed	1	0.619039	0.619039
820	unseen	1	0.619039	0.619039
821	until	1	0.367725	0.367725
822	untouched	1	2.56495	2.56495
826	urgency	1	1.46634	1.46634
831	vanish	1	2.56495	2.56495
839	waited	1	0.485508	0.485508
840	waiting	2	0.367725	0.73545
841	walk	2	0.262364	0.524729
842	walked	1	0.619039	0.619039
845	want	1	0.77319	0.77319
846	wanted	1	0.955511	0.955511
849	warmer	1	0.619039	0.619039
852	was	17	0.262364	4.46019
854	wasn	3	0.262364	0.787093
859	watching	1	0.619039	0.619039
860	water	2	0.262364	0.524729
861	waved	1	1.17865	1.17865
862	waves	2	0.262364	0.524729
863	way	3	0.262364	0.787093
864	welcomed	1	1.46634	1.46634
867	were	1	0.619039	0.619039
869	what	1	0.367725	0.367725
871	when	3	0.485508	1.45652
874	which	1	0.619039	0.619039
877	whispered	1	0.367725	0.367725
880	whole	2	1.17865	2.35731
881	why	2	0.262364	0.524729
882	wide	2	0.262364	0.524729
884	widening	1	1.8718	1.8718
887	wind	2	0.367725	0.73545
888	wings	1	0.262364	0.262364
889	with	9	0.262364	2.36128
890	without	1	0.619039	0.619039
895	words	1	0.262364	0.262364
898	world	2	0.262364	0.524729
900	worth	1	0.955511	0.955511
903	write	2	0.262364	0.524729
905	wrote	4	0.262364	1.04946
908	yet	1	0.77319	0.77319

Documento: ejemplos/document-10.txt
Idx	Termino	TF	IDF	TF-IDF
0	a	18	0.262364	4.72256
1	about	6	0.262364	1.57419
2	above	1	0.619039	0.619039
3	absence	1	1.8718	1.8718
4	acceptance	1	0.262364	0.262364
8	across	4	0.262364	1.04946
13	again	1	0.485508	0.485508
16	air	4	0.262364	1.04946
17	alive	1	0.485508	0.485508
18	all	1	0.485508	0.485508
19	allowed	2	0.485508	0.971016
20	almost	1	0.955511	0.955511
25	always	1	0.367725	0.367725
28	an	3	0.619039	1.85712
30	and	21	0.262364	5.50965
31	another	1	0.955511	0.955511
33	answers	1	1.46634	1.46634
41	as	3	0.262364	0.787093
42	ask	1	1.46634	1.46634
45	at	5	0.262364	1.31182
46	attention	2	0.262364	0.524729
50	back	1	0.262364	0.262364
51	balance	1	0.367725	0.367725
53	bands	1	2.56495	2.56495
54	be	1	0.262364	0.262364
56	beauty	1	0.262364	0.262364
58	because	2	0.77319	1.54638
59	been	2	1.17865	2.35731
61	began	2	0.262364	0.524729
63	begun	1	1.8718	1.8718
69	beneath	1	0.262364	0.262364
71	between	2	1.46634	2.93267
72	beyond	1	1.8718	1.8718
73	birds	1	0.262364	0.262364
79	boundary	1	1.8718	1.8718
81	branches	1	0.619039	0.619039
84	breathing	1	1.17865	1.17865
86	briefly	1	1.8718	1.8718
89	bring	1	1.8718	1.8718
93	brushing	1	0.77319	0.77319
97	but	8	0.262364	2.09891
98	by	5	0.262364	1.31182
100	calm	1	0.262364	0.262364
101	calmer	1	1.17865	1.17865
103	came	1	0.367725	0.367725
106	careful	1	1.17865	1.17865
109	carried	1	0.262364	0.262364
112	case	1	2.56495	2.56495
114	cautiously	1	2.56495	2.56495
117	changed	1	0.619039	0.619039
122	chose	2	1.8718	3.7436
123	circles	1	1.46634	1.46634
126	clearly	1	2.56495	2.56495
128	climbing	1	1.46634	1.46634
129	clock	1	1.17865	1.17865
130	clocks	1	2.56495	2.56495
132	closed	1	0.262364	0.262364
137	come	1	1.17865	1.17865
149	cool	1	0.485508	0.485508
152	could	2	0.262364	0.524729
158	crowded	1	0.955511	0.955511
161	currents	1	0.367725	0.367725
167	darted	1	1.17865	1.17865
170	day	3	0.262364	0.787093
172	decided	1	0.619039	0.619039
178	demanded	1	0.955511	0.955511
180	demands	1	0.77319	0.77319
182	details	2	0.367725	0.73545
183	did	2	1.46634	2.93267
184	didn	5	0.262364	1.31182
185	different	1	0.367725	0.367725
186	differently	1	1.46634	1.46634
187	dirt	1	0.367725	0.367725
188	disappeared	1	0.77319	0.77319
196	down	2	0.262364	0.524729
197	dragonfly	1	0.262364	0.262364
200	drifting	1	1.17865	1.17865
201	each	2	0.367725	0.73545
207	easily	1	1.46634	1.46634
210	edge	2	0.262364	0.524729
211	effort	1	1.46634	1.46634
215	empty	1	1.46634	1.46634
217	ended	2	0.485508	0.971016
218	endless	1	1.8718	1.8718
220	enough	2	0.262364	0.524729
226	every	1	0.77319	0.77319
228	everything	1	0.367725	0.367725
229	everywhere	1	0.955511	0.955511
230	exactly	1	1.17865	1.17865
231	exist	1	0.77319	0.77319
232	existed	1	1.17865	1.17865
236	faded	1	0.77319	0.77319
239	failure	1	0.77319	0.77319
242	familiar	1	0.77319	0.77319
245	fast	1	0.955511	0.955511
246	feel	1	1.46634	1.46634
248	feels	1	0.262364	0.262364
249	felt	5	0.262364	1.31182
250	few	1	0.619039	0.619039
251	field	2	0.77319	1.54638
253	filled	1	0.955511	0.955511
255	firm	1	1.8718	1.8718
256	first	1	0.262364	0.262364
257	fish	2	0.262364	0.524729
267	for	4	0.262364	1.04946
270	forget	1	1.8718	1.8718
272	forward	1	1.46634	1.46634
273	found	1	0.485508	0.485508
279	from	1	0.262364	0.262364
280	froze	1	1.8718	1.8718
281	full	2	0.619039	1.23808
282	fully	1	1.17865	1.17865
285	gave	1	1.46634	1.46634
286	gentle	1	0.619039	0.619039
287	gentler	1	0.619039	0.619039
290	glass	2	0.262364	0.524729
291	gleaming	1	1.46634	1.46634
292	glimmered	1	1.8718	1.8718
301	grass	2	1.17865	2.35731
303	grateful	1	1.46634	1.46634
305	gratitude	1	0.77319	0.77319
309	ground	1	0.262364	0.262364
311	grown	1	2.56495	2.56495
312	guard	1	2.56495	2.56495
316	had	11	0.262364	2.88601
317	hadn	1	0.262364	0.262364
322	have	1	0.262364	0.262364
326	heavens	1	1.17865	1.17865
328	held	1	0.367725	0.367725
329	here	3	0.262364	0.787093
332	higher	1	0.262364	0.262364
340	how	4	0.262364	1.04946
344	hurrying	1	2.56495	2.56495
345	i	42	0.262364	11.0193
347	identical	1	1.46634	1.46634
348	if	4	0.262364	1.04946
354	in	4	0.262364	1.04946
357	into	2	0.367725	0.73545
359	invisible	1	1.8718	1.8718
361	it	20	0.262364	5.24729
362	its	2	0.262364	0.524729
363	itself	1	1.17865	1.17865
365	judge	1	1.8718	1.8718
369	just	4	0.367725	1.4709
372	kind	1	0.262364	0.262364
373	knew	1	0.262364	0.262364
374	know	1	0.77319	0.77319
377	lake	8	0.262364	2.09891
379	landed	1	0.367725	0.367725
383	last	1	1.8718	1.8718
385	later	1	2.56495	2.56495
389	laying	1	2.56495	2.56495
390	leading	1	1.8718	1.8718
392	leapt	1	0.955511	0.955511
397	left	1	0.367725	0.367725
398	less	2	0.485508	0.971016
401	life	4	0.262364	1.04946
403	lifted	1	0.262364	0.262364
404	light	2	0.262364	0.524729
405	lighter	1	0.262364	0.262364
407	like	7	0.262364	1.83655
410	line	1	0.955511	0.955511
414	little	1	0.955511	0.955511
415	lived	1	2.56495	2.56495
418	long	2	0.262364	0.524729
425	loud	1	1.17865	1.17865
428	made	1	0.367725	0.367725
429	many	1	0.262364	0.262364
432	maybe	2	0.367725	0.73545
433	me	10	0.262364	2.62364
435	meant	1	1.8718	1.8718
439	might	1	0.367725	0.367725
443	miss	1	1.17865	1.17865
446	moment	3	0.262364	0.787093
448	more	3	0.262364	0.787093
449	morning	2	0.262364	0.524729
451	motion	1	1.17865	1.17865
453	moved	3	0.485508	1.45652
456	moving	3	0.367725	1.10317
457	much	1	0.485508	0.485508
458	murmuring	1	2.56495	2.56495
459	must	1	1.8718	1.8718
460	my	2	0.262364	0.524729
465	necessary	1	1.8718	1.8718
470	never	1	0.485508	0.485508
471	new	1	0.619039	0.619039
472	night	1	0.77319	0.77319
473	noise	2	0.262364	0.524729
476	not	5	0.262364	1.31182
477	notebook	4	0.262364	1.04946
479	notice	2	0.619039	1.23808
485	of	15	0.262364	3.93546
486	off	1	0.955511	0.955511
487	offered	1	1.46634	1.46634
488	often	3	0.262364	0.787093
489	on	6	0.262364	1.57419
490	once	1	0.485508	0.485508
491	one	3	0.262364	0.787093
492	only	2	0.262364	0.524729
494	open	1	0.955511	0.955511
495	opened	2	0.262364	0.524729
497	or	2	0.262364	0.524729
498	orange	1	1.8718	1.8718
499	ordinary	1	1.17865	1.17865
500	other	1	0.367725	0.367725
501	out	3	0.262364	0.787093
503	outsider	1	2.56495	2.56495
507	overhead	1	1.46634	1.46634
508	overlooked	1	1.46634	1.46634
510	pace	1	0.955511	0.955511
515	pale	1	0.485508	0.485508
516	part	1	1.17865	1.17865
519	pass	2	1.17865	2.35731
524	path	2	0.262364	0.524729
529	paused	1	0.485508	0.485508
531	paying	1	1.8718	1.8718
532	peace	1	0.367725	0.367725
533	pen	1	0.262364	0.262364
537	piece	1	2.56495	2.56495
